ph,Temp,TDS,Turbidity,Conductivity,Potability
,30.60,728.2703518,2.963135381,564.3086542,0
3.716080075,29.80,912.5384794,4.500656275,592.8853591,0
8.099124189,29.50,1284.250735,3.05593375,418.6062131,0
8.316765884,29.70,373.3791201,4.628770537,363.2665162,0
9.092223456,29.50,1343.232918,4.075075425,398.4108134,0
5.584086638,30.00,1254.301908,2.559708228,280.4679159,0
10.22386216,29.20,795.1606981,2.672988737,283.6516335,0
8.635848719,29.60,1165.994908,4.401424715,474.6076449,0
,30.00,776.0159077,3.595017181,389.3755659,0
11.18028447,30.10,166.0725546,4.370561937,563.8854815,0
7.360640106,27.80,496.8012107,3.662291783,425.3834195,0
7.974521649,27.90,1610.897711,4.011718108,364.0982305,0
7.119824384,29.30,1067.083303,3.445756223,347.7150273,0
,29.20,1092.153786,4.413974183,379.7618348,0
7.496232208,30.00,1474.743238,4.777382337,444.6453523,0
6.347271761,29.00,935.9408551,4.376348291,516.7432819,0
7.0517858,29.10,869.9156405,4.268428858,315.1412672,0
9.181560007,28.70,1285.968854,4.503660796,477.9746419,0
8.975464348,28.70,1427.434428,2.43608559,431.44399,0
7.371050302,29.50,1115.01591,2.560299148,469.9145515,0
,29.00,780.9277729,4.133422644,554.8200865,0
6.660212026,29.40,1582.295406,3.749701241,523.6712975,0
,28.30,1049.692395,5.459250956,436.256194,0
3.902475686,30.10,1145.34467,4.528522696,444.4788825,0
5.400301781,30.30,607.8328345,4.82478639,472.8740733,0
6.514415093,30.50,274.5721579,5.200885077,413.2904501,0
3.445061864,29.10,416.1375069,4.184396969,441.7858757,0
,30.10,1749.545369,4.004871128,298.9906665,0
,29.20,1118.478987,3.991564248,364.4801067,0
,25.10,1889.492757,6.038184953,563.8047433,0
7.181448581,29.60,159.5203914,5.088859989,342.1112863,0
9.825489908,27.40,1785.317934,2.857472426,452.8362349,0
10.43329098,27.80,1574.674566,5.057310517,412.9868338,0
7.414148196,30.60,356.4804161,3.160624468,411.9833642,0
,25.00,558.9079553,5.029166724,383.981723,0
5.115817064,25.00,614.2294936,3.902088768,441.7483793,0
3.641629777,25.00,301.567086,3.464353035,456.8600959,0
5.618064406,25.30,807.3545413,2.896546941,399.4715663,0
,25.10,1099.363849,2.907563915,427.1306715,0
9.267187531,26.10,834.2510581,4.324004646,396.8769491,0
,21.40,130.249024,3.510004045,349.3996325,0
5.331940479,27.40,1427.864039,4.434820258,335.1203984,0
7.145771545,27.10,67.34400056,5.182590704,332.0327063,0
9.920691059,27.20,1956.622533,4.69070723,333.1924699,0
4.758439425,27.30,888.9545838,4.542801462,403.9441682,0
5.702925977,27.00,243.1877436,4.137739016,504.6382604,0
6.953864226,27.20,423.9158142,3.195710328,391.1843151,0
10.68296643,27.00,1056.458362,3.999775382,323.8079132,0
,22.60,529.6958446,4.405586,470.3291685,0
8.757257397,28.40,454.3019412,3.626135442,404.7177992,0
,28.00,421.811397,3.048057223,383.79502,0
7.809631898,27.60,1650.318288,2.447444464,605.2201244,0
6.652488091,27.90,56.38725719,3.742090426,545.9749938,0
9.147197055,28.10,266.4502458,3.794531591,527.70891,0
10.56074464,27.10,1365.105376,3.96468635,456.5564021,0
7.484254838,27.60,1865.15205,4.781188177,404.6707773,0
8.520806573,27.30,1954.005633,3.94060453,481.3188027,0
4.999413811,27.80,427.9900673,4.460683932,405.330482,0
,28.00,1705.234184,4.405385706,360.9959945,0
,28.10,1817.213022,4.08990769,290.1809831,0
3.906078355,28.60,1963.482477,3.902879712,269.4490512,0
6.391353624,26.90,1848.152347,3.923749169,369.3381209,0
,23.00,259.9153859,3.855602212,296.3975472,0
8.692092013,23.00,809.1893553,4.477960248,398.345418,0
8.085759801,23.00,1835.366442,4.068688909,416.2396301,0
6.203977702,25.10,1998.070838,5.215689206,362.1080043,0
5.058108869,24.60,1370.834816,5.106655774,669.7250862,0
,25.70,1240.9106,4.620793452,485.9745005,0
,24.80,47.65515922,3.439740042,333.329848,0
7.261550522,27.30,209.9289208,3.636364183,501.1827807,0
7.160467231,27.50,1369.091167,3.884891044,428.0363444,0
5.704764776,25.20,1180.77605,4.157533407,504.378681,0
6.217273135,29.90,1293.414393,5.325833446,556.65371,0
8.67993497,29.80,351.6135572,3.873470298,352.9425881,0
,27.80,1544.019845,4.655916599,425.2135748,0
6.897322141,26.70,1949.163128,5.02278363,383.0143102,0
3.514545529,25.80,1226.490355,3.762615331,307.379142,0
3.722500486,26.40,336.0935141,3.662837732,467.5629729,0
6.455004797,29.80,1861.183164,2.293431406,477.5813462,0
7.316804754,28.60,1085.772393,3.50837265,425.9134002,0
1.844538366,26.90,969.5594411,5.013463351,410.3872638,0
5.519125656,26.00,339.707146,3.75899586,443.5703721,0
7.408985467,23.60,682.992817,3.772420928,504.1459941,0
5.976769618,30.30,499.6723694,2.994671096,514.1189201,0
6.395359132,30.70,1501.137925,4.191217515,573.4002951,0
6.20964226,28.70,550.0690841,3.612519615,417.241656,0
6.762832522,28.20,1794.446395,4.916579161,465.4137746,0
9.918717064,24.80,67.11746869,3.385508444,430.5077069,0
10.15544017,26.30,1309.530751,5.00246726,487.459131,0
